name,ticker,market,sector
Macro Group Pharmaceutical S.A.E.,MCRO,EGX,Health technology
Middle East Glass Manufacturing SAE,MEGM,EGX,Process industries
Mena Touristic & Real Estate Investment,MENA,EGX,Finance
Medical Packaging Company,MEPA,EGX,Process industries
Misr Fertilizers Production Company MOPCO,MFPC,EGX,Process industries
Misr Duty Free Shops Co.,MFSC,EGX,Retail trade
Misr Hotels Co.,MHOT,EGX,Consumer services
Misr Chemical Industries Ltd.,MICH,EGX,Process industries
North Cairo Mills Co.,MILS,EGX,Process industries
Minapharm Pharmaceuticals,MIPH,EGX,Health technology
MISR Intercontinental for Granite & Marble,MISR,EGX,Non-energy minerals
Misr Kuwait Investment & Trading Co.,MKIT,EGX,Distribution services
Marsa Marsa Alam for Tourism Development,MMAT,EGX,Consumer services
Egyptian Modern Education Systems,MOED,EGX,Commercial services
Maridive & Oil Services SAE,MOIL,EGX,Industrial services
Mohandes Insurance Co.,MOIN,EGX,Finance
Misr Oils & Soap Co.,MOSC,EGX,Process industries
Memphis Pharmaceutical & Chemical Industries,MPCI,EGX,Health technology
Mansourah Poultry Co.,MPCO,EGX,Process industries
Egyptian Media Production City,MPRC,EGX,Consumer services
MM Group for Industry & International Trade,MTIE,EGX,Distribution services
Naeem Holding Co.,NAHO,EGX,Finance
Reacap Financial Investments,NARE,EGX,Finance
Nasr Co. for Civil Works,NCCW,EGX,Industrial services
National Drilling Co.,NDRL,EGX,Industrial services
Northern Upper Egypt Development & Agricultural Production,NEDA,EGX,Process industries
National Housing for Professional Syndicates,NHPS,EGX,Finance
Nozha International Hospital,NINH,EGX,Health services
El-Nile Co. for Pharmaceuticals & Chemical Industries,NIPH,EGX,Health technology
El Obour Real Estate Investment,OBRI,EGX,Finance
Six of October Development & Investment (SODIC),OCDI,EGX,Finance
October Pharma Co.,OCPH,EGX,Health technology
ODIN Investments,ODIN,EGX,Finance
Orascom Financial Holding S.A.E,OFH,EGX,Finance
Orascom Investment Holding SAE,OIH,EGX,Communications
Obour Land for Food Industries,OLFI,EGX,Consumer non-durables
Orascom Construction Plc,ORAS,EGX,Industrial services
Orascom Development Egypt (S.A.E),ORHD,EGX,Consumer durables
Oriental Weavers Carpet,ORWE,EGX,Consumer durables
Egyptian International Pharmaceutical Industries Co.,PHAR,EGX,Health technology
Palm Hills Development Co.,PHDC,EGX,Finance
Premium Healthcare Group,PHGC,EGX,Health services
Pyramisa Hotels,PHTV,EGX,Consumer services
Port Said Container And Cargo Handling,POCO,EGX,Transportation
Cairo Poultry Co.,POUL,EGX,Process industries
General Co. for Ceramic & Porcelain Products,PRCL,EGX,Non-energy minerals
Pioneers Properties for Urban Development,PRDC,EGX,Finance
Prime Holding,PRMH,EGX,Finance
Qatar National Bank,QNBE,EGX,Finance
Raya Contact Center,RACC,EGX,Commercial services
Rakta Paper Manufacturing,RAKT,EGX,Process industries
Raya Holding for Financial Investments SAE,RAYA,EGX,Technology services
REKAZ Financial Holding,RKAZ,EGX,Process industries
Tenth of Ramadan Pharmaceutical Industries & Diagnostic-Rameda,RMDA,EGX,Health technology
Rowad Tourism (Al Rowad) Co,ROTO,EGX,Finance
Arab Real Estate Investment Co.,RREI,EGX,Consumer durables
Remco for Touristic Villages Construction,RTVC,EGX,Industrial services
Rubex International for Plastic & Acrylic Manufacturing,RUBX,EGX,Consumer durables
Societe Arabe Internationale de Banque,SAIB,EGX,Finance
Al Baraka Bank Egypt,SAUD,EGX,Finance
Sinai Cement Co.,SCEM,EGX,Non-energy minerals
South Cairo & Giza Mills & Bakeries,SCFM,EGX,Process industries
Sues Canal Co. for Technology Settling,SCTS,EGX,Commercial services
Sharm Dreams Co. for Tourism Investment,SDTI,EGX,Consumer services
Saudi Egyptian Investment & Finance Co. SAE,SEIG,EGX,Finance
Sabaa International Company for Pharmaceutial and Chemical Industry,SIPC,EGX,Health technology
Sidi Kerir Petrochemicals,SKPC,EGX,Process industries
Samad Misr-EGYFERT,SMFR,EGX,Distribution services
Sharkia National Food,SNFC,EGX,Process industries
El Shams Pyramids Co. for Hotels & Touristic Projects SAE,SPHT,EGX,Consumer services
Alexandria Spinning & Weaving,SPIN,EGX,Process industries
Speed Medical SAE,SPMD,EGX,Health services
Delta Sugar,SUGR,EGX,Process industries
South Valley Cement Co.,SVCE,EGX,Non-energy minerals
El Sewedy Electric Company,SWDY,EGX,Producer manufacturing
Taaleem Management Services S.A.E,TALM,EGX,Consumer services
Tanmiya for Real Estate Investment,TANM,EGX,Finance
TAQA Arabia,TAQA,EGX,Utilities
Talaat Moustafa Group Holding,TMGH,EGX,Finance
TransOceans Tours,TRTO,EGX,Commercial services
TAWASOA FOR FACTORING,TWSA,EGX,
United Bank SAE,UBEE,EGX,Finance
Upper Egypt Flour Mills Co.,UEFM,EGX,Process industries
El-Saeed Contracting & Real Estate Investment Co. SCCD,UEGC,EGX,Industrial services
Universal Co. for Paper & Packaging Materials-Unipack,UNIP,EGX,Process industries
United Housing Construction SA,UNIT,EGX,Finance
Union Pharmacist Company For Medical Services And Investment,UPMS,EGX,Health services
Utopia Real Estate Investment & Tourism SAE,UTOP,EGX,Finance
U Consumer Finance S.A.E,VALU,EGX,Finance
Vertika for Industry & Trade,VERT,EGX,Technology services
Middle & West Delta Flour Mills Co.,WCDF,EGX,Process industries
Wadi Kom Ombo Land Reclamation,WKOL,EGX,Industrial services
Extracted Oils & Derivatives Co.,ZEOT,EGX,Process industries
Zahraa Maadi Investment & Development,ZMID,EGX,Finance
